#,Date,Temp,Lux
360,5/15/2022 11:45,29.953,4133.4
361,5/15/2022 12:00,29.953,2238.9
362,5/15/2022 12:15,30.054,2325
363,5/15/2022 12:30,30.154,2927.8
364,5/15/2022 12:45,30.154,3961.1
365,5/15/2022 13:00,30.154,4305.6
366,5/15/2022 13:15,30.154,4305.6
367,5/15/2022 13:30,30.154,4650
368,5/15/2022 13:45,30.054,2497.2
369,5/15/2022 14:00,30.054,3616.7
370,5/15/2022 14:15,30.255,7233.4
371,5/15/2022 14:30,30.356,12400.1
372,5/15/2022 14:45,29.953,914.9
373,5/15/2022 15:00,29.953,3616.7
374,5/15/2022 15:15,30.154,4133.4
375,5/15/2022 15:30,29.953,2927.8
376,5/15/2022 15:45,29.853,1808.3
377,5/15/2022 16:00,29.853,1636.1
378,5/15/2022 16:15,29.853,2411.1
379,5/15/2022 16:30,29.853,2583.4
380,5/15/2022 16:45,29.752,2927.8
381,5/15/2022 17:00,29.652,1237.9
382,5/15/2022 17:15,29.652,1130.2
383,5/15/2022 17:30,29.652,1334.7
384,5/15/2022 17:45,29.552,247.6
385,5/15/2022 18:00,29.452,172.2
386,5/15/2022 18:15,29.452,43.1
387,5/15/2022 18:30,29.452,10.8
388,5/15/2022 18:45,29.352,0
389,5/15/2022 19:00,29.352,0
390,5/15/2022 19:15,29.352,0
391,5/15/2022 19:30,29.252,0
392,5/15/2022 19:45,29.252,0
393,5/15/2022 20:00,29.252,0
394,5/15/2022 20:15,29.252,0
395,5/15/2022 20:30,29.152,0
396,5/15/2022 20:45,29.152,0
397,5/15/2022 21:00,29.152,0
398,5/15/2022 21:15,29.152,0
399,5/15/2022 21:30,29.152,0
400,5/15/2022 21:45,29.152,0
401,5/15/2022 22:00,29.152,0
402,5/15/2022 22:15,29.152,0
403,5/15/2022 22:30,29.152,0
404,5/15/2022 22:45,29.152,0
405,5/15/2022 23:00,29.152,0
406,5/15/2022 23:15,29.152,0
407,5/15/2022 23:30,29.152,0
408,5/15/2022 23:45,29.152,0
409,5/16/2022 0:00,29.152,0
410,5/16/2022 0:15,29.152,0
411,5/16/2022 0:30,29.152,0
412,5/16/2022 0:45,29.152,0
413,5/16/2022 1:00,29.053,0
414,5/16/2022 1:15,29.053,0
415,5/16/2022 1:30,29.053,0
416,5/16/2022 1:45,29.053,0
417,5/16/2022 2:00,29.053,0
418,5/16/2022 2:15,29.053,0
419,5/16/2022 2:30,29.053,0
420,5/16/2022 2:45,29.053,0
421,5/16/2022 3:00,29.053,0
422,5/16/2022 3:15,29.053,0
423,5/16/2022 3:30,29.053,0
424,5/16/2022 3:45,29.053,0
425,5/16/2022 4:00,29.053,0
426,5/16/2022 4:15,29.053,0
427,5/16/2022 4:30,29.053,0
428,5/16/2022 4:45,29.053,0
429,5/16/2022 5:00,29.053,0
430,5/16/2022 5:15,29.053,0
431,5/16/2022 5:30,29.053,0
432,5/16/2022 5:45,29.053,0
433,5/16/2022 6:00,28.953,10.8
434,5/16/2022 6:15,28.953,64.6
435,5/16/2022 6:30,29.053,204.5
436,5/16/2022 6:45,29.053,215.3
437,5/16/2022 7:00,29.053,226
438,5/16/2022 7:15,29.053,86.1
439,5/16/2022 7:30,29.053,344.4
440,5/16/2022 7:45,29.152,226
441,5/16/2022 8:00,29.152,409
442,5/16/2022 8:15,29.152,215.3
443,5/16/2022 8:30,29.152,290.6
444,5/16/2022 8:45,29.252,602.8
445,5/16/2022 9:00,29.252,882.6
446,5/16/2022 9:15,29.352,958
447,5/16/2022 9:30,29.352,721.2
448,5/16/2022 9:45,29.352,570.5
449,5/16/2022 10:00,29.452,904.2
450,5/16/2022 10:15,29.452,1011.8
451,5/16/2022 10:30,29.452,968.8
452,5/16/2022 10:45,29.552,1248.6
453,5/16/2022 11:00,29.552,1722.2
454,5/16/2022 11:15,29.652,2927.8
455,5/16/2022 11:30,29.652,1722.2
456,5/16/2022 11:45,29.752,2927.8
457,5/16/2022 12:00,29.853,3272.2
458,5/16/2022 12:15,30.054,5166.7
459,5/16/2022 12:30,30.054,4650
460,5/16/2022 12:45,30.054,11022.3
461,5/16/2022 13:00,30.154,4477.8
462,5/16/2022 13:15,30.154,3100
463,5/16/2022 13:30,30.154,4305.6
464,5/16/2022 13:45,30.154,2927.8
465,5/16/2022 14:00,30.154,2927.8
466,5/16/2022 14:15,30.255,8266.7
467,5/16/2022 14:30,30.356,8611.2
468,5/16/2022 14:45,30.255,6200
469,5/16/2022 15:00,30.054,1636.1
470,5/16/2022 15:15,30.154,6200
471,5/16/2022 15:30,29.953,1894.5
472,5/16/2022 15:45,29.953,1141
473,5/16/2022 16:00,29.853,1377.8
474,5/16/2022 16:15,29.953,3100
475,5/16/2022 16:30,30.054,2152.8
476,5/16/2022 16:45,29.953,2152.8
477,5/16/2022 17:00,29.853,785.8
478,5/16/2022 17:15,29.752,1054.9
479,5/16/2022 17:30,29.752,2411.1
480,5/16/2022 17:45,29.652,258.3
481,5/16/2022 18:00,29.552,161.5
482,5/16/2022 18:15,29.552,53.8
